"","ID_IPEDS","year","degree_bach","public","enroll_ftug","grant_state","grant_federal"
"15760",220491,2012,0,0,10,46125,0
"15761",220491,2011,0,0,27,72025.339239,0
"15762",220491,2013,0,0,13,25961.17433,0
"15763",220491,2010,0,0,190,588631.63788,0
"15764",220491,2014,0,0,3,11460,0
"15765",454485,2010,0,0,34,123378.74185,0
"15766",454485,2012,0,0,30,124289.51427,0
"15767",454485,2013,0,0,16,70744.653504,0
"15768",454485,2011,0,0,38,141039.21198,0
"15769",220491,2015,0,0,10,42788,0
"15770",454485,2014,0,0,36,137972.050488,0
"15771",458812,2013,0,0,20,70957,0
"15772",458812,2010,0,0,43,169963.415424,0
"15773",458812,2015,0,0,15,35996.60625,0
"15774",458812,2014,0,0,21,59679.760497,2100
"15775",458812,2011,0,0,40,84775,0
"15776",458812,2012,0,0,25,44082.998,0
"15777",382771,2013,0,0,99,388907.601588,3960
"15778",368443,2012,1,0,17,57134.227096,0
"15779",382771,2010,0,0,93,378128.837268,0
"15780",382771,2014,0,0,110,457066.8025,8433.7
"15781",382771,2011,0,0,87,280383.148122,1740
"15782",368443,2015,1,0,35,65748.998,3151.049895
"15783",382771,2015,0,0,79,329914.446012,5618.48
"15784",382771,2012,0,0,118,385889.644196,2361.18
"15785",368443,2013,1,0,45,152773.40412,0
"15786",368443,2014,1,0,29,115512.9972,0
"15787",368443,2011,1,0,102,368713.49232,9048.42
"15788",368443,2010,1,0,199,1017829.559595,27185.389602
"15789",418889,2013,0,0,81,101519.379999,14117.605506
"15790",418889,2014,0,0,42,93648.24,29350.44
"15791",376677,2011,0,0,80,372168,0
"15792",418889,2010,0,0,74,197908.8671,118833.879612
"15793",418889,2011,0,0,97,174548.6288,28904.05903
"15794",376677,2014,0,0,30,59614.9974,0
"15795",376677,2010,0,0,124,576876.4704,37889.44
"15796",376677,2012,0,0,30,77661.375,0
"15797",418889,2012,0,0,87,67013.344188,6090
"15798",376677,2015,0,0,21,40410.255039,0
"15799",418889,2015,0,0,22,41558.45793,7425
"15800",376677,2013,0,0,37,129052.67,0
"15801",219602,2013,1,1,1237,3025823.859344,4532818.567354
"15802",219602,2015,1,1,1281,3397557.876405,4370743.648908
"15803",219602,2012,1,1,1182,3046522.676064,4280776.87248
"15804",219602,2010,1,1,1478,3665354.23166,4715474.824944
"15805",219602,2014,1,1,1184,2765914.4576,4121726.157472
"15806",219602,2011,1,1,1274,3277734.633264,4399792.47435
"15807",219994,2011,0,1,400,497281.7424,437294.7952
"15808",219994,2012,0,1,250,463967.406,324579.618
"15809",219994,2013,0,1,411,840022.636056,531785.071272
"15810",219994,2010,0,1,476,816499.301968,564448.828692
