stabbr,zip
PR,00602
PR,00603
PR,00604
PR,00605
PR,00612
PR,00613
PR,00614
PR,00625
PR,00641
PR,00659
PR,00662
PR,00674
PR,00676
PR,00680
PR,00681
PR,00682
PR,00683
PR,00685
PR,00693
PR,00698
PR,00714
PR,00715
PR,00716
PR,00717
PR,00718
PR,00721
PR,00725
PR,00726
PR,00730
PR,00731
PR,00732
PR,00736
PR,00737
PR,00738
PR,00745
PR,00754
PR,00767
PR,00769
PR,00778
PR,00784
PR,00785
PR,00791
PR,00792
PR,00794
PR,00795
VI,00802
PR,00901
PR,00902
PR,00907
PR,00909
PR,00910
PR,00917
PR,00918
PR,00919
PR,00924
PR,00925
PR,00926
PR,00928
PR,00931
PR,00936
PR,00957
PR,00959
PR,00960
PR,00961
PR,00964
PR,00966
PR,00968
PR,00969
PR,00970
PR,00978
PR,00980
PR,00982
PR,00984
PR,00985
PR,00986
PR,00987
MA,01002
MA,01003
MA,01013
MA,01020
MA,01040
MA,01056
MA,01060
MA,01063
MA,01075
MA,01086
MA,01089
MA,01103
MA,01104
MA,01105
MA,01106
MA,01109
MA,01119
MA,01201
MA,01230
MA,01247
MA,01267
MA,01301
MA,01341
MA,01376
MA,01420
MA,01440
MA,01507
MA,01561
MA,01562
MA,01568
MA,01571
MA,01581
MA,01583
MA,01602
MA,01604
MA,01605
MA,01606
MA,01609
MA,01610
MA,01612
MA,01655
MA,01701
MA,01702
MA,01730
MA,01752
MA,01801
MA,01810
MA,01821
MA,01830
MA,01835
MA,01845
MA,01852
MA,01854
MA,01876
MA,01879
MA,01887
MA,01907
MA,01915
MA,01923
MA,01938
MA,01970
MA,01982
MA,01984
MA,02021
MA,02038
MA,02062
MA,02108
MA,02109
MA,02110
MA,02111
MA,02113
MA,02114
MA,02115
MA,02116
MA,02120
MA,02122
MA,02124
MA,02125
MA,02129
MA,02132
MA,02135
MA,02136
MA,02138
MA,02139
MA,02141
MA,02142
MA,02145
MA,02148
MA,02150
MA,02155
MA,02169
MA,02170
MA,02184
MA,02186
MA,02215
MA,02301
MA,02302
MA,02325
MA,02357
MA,02360
MA,02375
MA,02445
MA,02446
MA,02452
MA,02453
MA,02454
MA,02457
MA,02458
MA,02459
MA,02466
MA,02467
MA,02472
MA,02481
MA,02492
MA,02493
MA,02532
MA,02540
MA,02601
MA,02668
MA,02720
MA,02723
MA,02740
MA,02745
MA,02747
MA,02766
MA,02771
MA,02780
RI,02809
RI,02818
RI,02840
RI,02860
RI,02865
RI,02881
RI,02886
RI,02893
RI,02903
RI,02904
RI,02908
RI,02912
RI,02914
RI,02917
RI,02918
RI,02920
NH,03036
NH,03051
NH,03054
NH,03060
NH,03063
NH,03079
NH,03101
NH,03102
NH,03103
NH,03104
NH,03106
NH,03110
NH,03242
NH,03246
NH,03257
NH,03264
NH,03278
NH,03301
NH,03431
NH,03435
NH,03461
NH,03570
NH,03743
NH,03755
NH,03766
NH,03784
NH,03801
NH,03824
NH,03878
ME,04005
ME,04009
ME,04011
ME,04046
ME,04073
ME,04074
ME,04084
ME,04090
ME,04092
ME,04101
ME,04102
ME,04103
ME,04106
ME,04210
ME,04240
ME,04330
ME,04401
ME,04402
ME,04420
ME,04469
ME,04609
ME,04619
ME,04654
ME,04743
ME,04769
ME,04901
ME,04937
ME,04938
ME,04988
VT,05061
VT,05068
VT,05201
VT,05301
VT,05302
VT,05344
VT,05346
VT,05401
VT,05403
VT,05404
VT,05405
VT,05408
VT,05439
VT,05495
VT,05601
VT,05602
VT,05656
VT,05663
VT,05667
VT,05676
VT,05701
VT,05735
VT,05753
VT,05764
VT,05827
VT,05851
CT,06010
CT,06032
CT,06040
CT,06050
CT,06051
CT,06053
CT,06068
CT,06071
CT,06078
CT,06082
CT,06088
CT,06095
CT,06098
CT,06103
CT,06105
CT,06106
CT,06108
CT,06109
CT,06110
CT,06111
CT,06114
CT,06117
CT,06118
CT,06120
CT,06226
CT,06239
CT,06269
CT,06320
CT,06340
CT,06357
CT,06360
CT,06371
CT,06401
CT,06405
CT,06416
CT,06437
CT,06450
CT,06451
CT,06457
CT,06459
CT,06460
CT,06461
CT,06470
CT,06473
CT,06483
CT,06484
CT,06489
CT,06492
CT,06510
CT,06511
CT,06514
CT,06515
CT,06516
CT,06518
CT,06520
CT,06604
CT,06606
CT,06608
CT,06610
CT,06615
CT,06626
CT,06702
CT,06704
CT,06705
CT,06706
CT,06708
CT,06716
CT,06723
CT,06790
CT,06802
CT,06810
CT,06811
CT,06824
CT,06825
CT,06850
CT,06854
CT,06880
CT,06901
CT,06902
CT,06904
NJ,07003
NJ,07004
NJ,07006
NJ,07011
NJ,07013
NJ,07016
NJ,07018
NJ,07030
NJ,07033
NJ,07036
NJ,07042
NJ,07043
NJ,07054
NJ,07058
NJ,07060
NJ,07061
NJ,07076
NJ,07079
NJ,07080
NJ,07083
NJ,07087
NJ,07093
NJ,07101
NJ,07102
NJ,07103
NJ,07109
NJ,07110
NJ,07201
NJ,07208
NJ,07305
NJ,07306
NJ,07310
NJ,07420
NJ,07424
NJ,07430
NJ,07446
NJ,07470
NJ,07505
NJ,07506
NJ,07513
NJ,07601
NJ,07608
NJ,07644
NJ,07652
NJ,07666
NJ,07710
NJ,07712
NJ,07719
NJ,07728
NJ,07738
NJ,07753
NJ,07764
NJ,07801
NJ,07834
NJ,07840
NJ,07860
NJ,07869
NJ,07876
NJ,07882
NJ,07940
NJ,07945
NJ,07950
NJ,07960
NJ,08002
NJ,08003
NJ,08012
NJ,08021
NJ,08028
NJ,08030
NJ,08043
NJ,08053
NJ,08054
NJ,08057
NJ,08068
NJ,08069
NJ,08080
NJ,08081
NJ,08102
NJ,08103
NJ,08109
NJ,08205
NJ,08221
NJ,08225
NJ,08232
NJ,08234
NJ,08240
NJ,08330
NJ,08362
NJ,08505
NJ,08512
NJ,08542
NJ,08544
NJ,08550
NJ,08608
NJ,08619
NJ,08628
NJ,08629
NJ,08648
NJ,08701
NJ,08723
NJ,08753
NJ,08754
NJ,08755
NJ,08807
NJ,08817
NJ,08818
NJ,08820
NJ,08830
NJ,08854
NJ,08861
NJ,08876
NJ,08890
NJ,08901
NJ,08902
NY,10001
NY,10002
NY,10003
NY,10004
NY,10007
NY,10010
NY,10011
NY,10012
NY,10013
NY,10014
NY,10016
NY,10017
NY,10018
NY,10019
NY,10021
NY,10022
NY,10023
NY,10024
NY,10025
NY,10027
NY,10029
NY,10031
NY,10032
NY,10033
NY,10035
NY,10036
NY,10038
NY,10065
NY,10075
NY,10115
NY,10118
NY,10122
NY,10281
NY,10301
NY,10306
NY,10311
NY,10314
NY,10451
NY,10453
NY,10458
NY,10462
NY,10465
NY,10468
NY,10471
NY,10522
NY,10523
NY,10528
NY,10549
NY,10550
NY,10562
NY,10566
NY,10577
NY,10591
NY,10595
NY,10598
NY,10604
NY,10606
NY,10701
NY,10704
NY,10707
NY,10708
NY,10801
NY,10805
NY,10901
NY,10924
NY,10940
NY,10950
NY,10952
NY,10954
NY,10960
NY,10962
NY,10976
NY,10977
NY,10994
NY,10996
NY,11024
NY,11030
NY,11101
NY,11103
NY,11106
NY,11201
NY,11203
NY,11204
NY,11205
NY,11209
NY,11210
NY,11211
NY,11213
NY,11214
NY,11218
NY,11219
NY,11220
NY,11223
NY,11225
NY,11229
NY,11230
NY,11235
NY,11236
NY,11354
NY,11355
NY,11357
NY,11364
NY,11367
NY,11369
NY,11372
NY,11374
NY,11375
NY,11385
NY,11418
NY,11432
NY,11433
NY,11439
NY,11451
NY,11501
NY,11530
NY,11542
NY,11548
NY,11549
NY,11550
NY,11553
NY,11559
NY,11561
NY,11568
NY,11571
NY,11580
NY,11691
NY,11701
NY,11714
NY,11716
NY,11717
NY,11724
NY,11726
NY,11735
NY,11743
NY,11746
NY,11747
NY,11749
NY,11756
NY,11768
NY,11769
NY,11772
NY,11784
NY,11788
NY,11791
NY,11794
NY,11801
NY,11901
NY,12020
NY,12043
NY,12065
NY,12095
NY,12110
NY,12180
NY,12203
NY,12204
NY,12205
NY,12206
NY,12208
NY,12211
NY,12222
NY,12246
NY,12304
NY,12305
NY,12308
NY,12466
NY,12484
NY,12493
NY,12504
NY,12507
NY,12534
NY,12538
NY,12550
NY,12561
NY,12601
NY,12604
NY,12754
NY,12759
NY,12779
NY,12801
NY,12804
NY,12839
NY,12860
NY,12866
NY,12901
NY,12970
NY,12983
NY,13021
NY,13026
NY,13035
NY,13045
NY,13053
NY,13088
NY,13090
NY,13114
NY,13126
NY,13148
NY,13202
NY,13203
NY,13207
NY,13210
NY,13211
NY,13214
NY,13215
NY,13244
NY,13323
NY,13346
NY,13350
NY,13357
